     index             RF [MHz]            Time [ns]         Intensity []         Intensity []
       321     7.25610948191593                  120              3388902               686955
       322     7.27565982404692                  120              3387773               673339
       323      7.2952101661779                  120              3417687               693189
       324     7.31476050830889                  120              3413566               676827
       325     7.33431085043988                  120              3424777               693066
       326     7.35386119257086                  120              3416263               683500
       327     7.37341153470185                  120              3426360               692333
       328     7.39296187683284                  120              3428847               699618
       329     7.41251221896383                  120              3413244               699402
       330     7.43206256109481                  120              3442684               708602
       331      7.4516129032258                  120              3440313               695708
       332     7.47116324535679                  120              3420812               690876
       333     7.49071358748778                  120              3447540               703155
       334     7.51026392961876                  120              3413410               688929
       335     7.52981427174975                  120              3438860               689697
       336     7.54936461388074                  120              3428287               695488
       337     7.56891495601172                  120              3434758               702832
       338     7.58846529814271                  120              3427788               690424
       339      7.6080156402737                  120              3421056               697707
       340     7.62756598240469                  120              3430072               696921
       341     7.64711632453567                  120              3431758               712887
       342     7.66666666666666                  120              3425172               687552
       343     7.68621700879765                  120              3425754               699331
       344     7.70576735092864                  120              3427708               694732
       345     7.72531769305962                  120              3422255               708471
       346     7.74486803519061                  120              3436809               687791
       347      7.7644183773216                  120              3437431               696057
       348     7.78396871945258                  120              3425134               676370
       349     7.80351906158357                  120              3424237               696209
       350     7.82306940371456                  120              3420209               696867
       351     7.84261974584555                  120              3413423               705902
       352     7.86217008797653                  120              3438001               708553
       353     7.88172043010752                  120              3428340               692926
       354     7.90127077223851                  120              3413181               697695
       355      7.9208211143695                  120              3417585               699982
       356     7.94037145650048                  120              3435975               688146
       357     7.95992179863147                  120              3438388               691358
       358     7.97947214076246                  120              3416586               693704
       359     7.99902248289344                  120              3433223               693554
       360     8.01857282502443                  120              3439729               705419
       361     8.03812316715542                  120              3437175               688990
       362     8.05767350928641                  120              3447127               718171
       363     8.07722385141739                  120              3438701               690562
       364     8.09677419354838                  120              3448803               693446
       365     8.11632453567937                  120              3452057               692774
       366     8.13587487781036                  120              3440583               708867
       367     8.15542521994134                  120              3432884               698249
       368     8.17497556207233                  120              3447911               693453
       369     8.19452590420332                  120              3449804               693996
       370      8.2140762463343                  120              3440335               686543
       371     8.23362658846529                  120              3428960               677720
       372     8.25317693059628                  120              3440956               690644
       373     8.27272727272727                  120              3438464               699637
       374     8.29227761485825                  120              3420911               701859
       375     8.31182795698924                  120              3423468               709320
       376     8.33137829912023                  120              3432104               700051
       377     8.35092864125122                  120              3400258               700682
       378      8.3704789833822                  120              3398664               683625
       379     8.39002932551319                  120              3371190               685565
       380     8.40957966764418                  120              3366950               686988
       381     8.42913000977516                  120              3372809               702263
       382     8.44868035190615                  120              3372084               701875
       383     8.46823069403714                  120              3377485               692844
       384     8.48778103616813                  120              3390440               675122
       385     8.50733137829911                  120              3381462               689050
       386      8.5268817204301                  120              3371971               686161
       387     8.54643206256109                  120              3353963               678607
       388     8.56598240469208                  120              3325241               682791
       389     8.58553274682306                  120              3294608               680592
       390     8.60508308895405                  120              3284972               670257
       391     8.62463343108504                  120              3279602               666367
       392     8.64418377321602                  120              3300863               669329
       393     8.66373411534701                  120              3302606               673772
       394       8.683284457478                  120              3329592               660731
       395     8.70283479960899                  120              3335769               683365
       396     8.72238514173997                  120              3371435               673911
       397     8.74193548387096                  120              3386635               695893
       398     8.76148582600195                  120              3409299               680477
       399     8.78103616813294                  120              3428421               699818
       400     8.80058651026392                  120              3419252               682038
       401     8.82013685239491                  120              3428023               697570
       402      8.8396871945259                  120              3438514               690836
       403     8.85923753665688                  120              3451055               705461
       404     8.87878787878787                  120              3464972               705375
       405     8.89833822091886                  120              3449629               698883
       406     8.91788856304985                  120              3452418               701799
       407     8.93743890518083                  120              3452303               692703
       408     8.95698924731182                  120              3457869               689141
       409     8.97653958944281                  120              3457395               697982
       410      8.9960899315738                  120              3459271               696511
       411     9.01564027370478                  120              3456354               697526
       412     9.03519061583577                  120              3450336               711693
       413     9.05474095796676                  120              3453494               695072
       414     9.07429130009774                  120              3454199               711382
       415     9.09384164222873                  120              3463121               702931
       416     9.11339198435972                  120              3462273               701830
       417     9.13294232649071                  120              3460385               717082
       418     9.15249266862169                  120              3462316               693797
       419     9.17204301075268                  120              3465271               702882
       420     9.19159335288367                  120              3463847               702349
       421     9.21114369501466                  120              3459451               708094
       422     9.23069403714564                  120              3457202               696106
       423     9.25024437927663                  120              3457568               686880
       424     9.26979472140762                  120              3475726               710192
       425      9.2893450635386                  120              3454321               700440
       426     9.30889540566959                  120              3456681               696271
       427     9.32844574780058                  120              3460129               708899
       428     9.34799608993157                  120              3469478               706895
       429     9.36754643206255                  120              3464735               697496
       430     9.38709677419354                  120              3461542               699778
       431     9.40664711632453                  120              3463354               714207
       432     9.42619745845552                  120              3455305               697493
       433      9.4457478005865                  120              3463568               712052
       434     9.46529814271749                  120              3468136               714201
       435     9.48484848484848                  120              3461096               703254
       436     9.50439882697946                  120              3470611               704020
       437     9.52394916911045                  120              3463812               713102
       438     9.54349951124144                  120              3454599               678332
       439     9.56304985337243                  120              3457720               688914
       440     9.58260019550341                  120              3459982               701286
       441      9.6021505376344                  120              3457782               695504
       442     9.62170087976539                  120              3472499               697750
       443     9.64125122189638                  120              3459657               689419
       444     9.66080156402736                  120              3450985               683888
       445     9.68035190615835                  120              3455821               701213
       446     9.69990224828934                  120              3454907               693622
       447     9.71945259042032                  120              3458171               702423
       448     9.73900293255131                  120              3460840               702946
       449      9.7585532746823                  120              3458564               692110
       450     9.77810361681329                  120              3444722               688426
       451     9.79765395894427                  120              3453722               703788
       452     9.81720430107526                  120              3455486               701134
       453     9.83675464320625                  120              3450262               709432
       454     9.85630498533724                  120              3457437               692230
       455     9.87585532746822                  120              3471517               698203
       456     9.89540566959921                  120              3459180               701478
       457      9.9149560117302                  120              3470064               692854
       458     9.93450635386118                  120              3455151               696284
       459     9.95405669599217                  120              3445017               695611
       460     9.97360703812316                  120              3462879               697076
       461     9.99315738025415                  120              3454349               709807
       462     10.0127077223851                  120              3449712               692808
       463     10.0322580645161                  120              3455320               702227
       464     10.0518084066471                  120              3447221               707435
       465     10.0713587487781                  120              3463702               701939
       466     10.0909090909091                  120              3441921               696675
       467     10.1104594330401                  120              3449028               702038
       468     10.1300097751711                  120              3461300               702556
       469      10.149560117302                  120              3448937               688832
       470      10.169110459433                  120              3448964               711586
       471      10.188660801564                  120              3434927               713696
       472      10.208211143695                  120              3456184               694587
       473      10.227761485826                  120              3444155               705507
